1,1995,1,2,3,4,8,,,,,
2,1995,1,3,8,,,,,,,
3,1995,4,14,,,,,,,,
4,1995,4,7,14,,,,,,,
5,1995,4,,,,,,,,,
6,1995,0,5,16,,,,,,,
7,1995,4,14,,,,,,,,
8,1995,1,3,,,,,,,,
9,1995,0,,,,,,,,,
10,1995,0,1,16,,,,,,,
11,1995,4,7,14,,,,,,,
12,1995,4,10,,,,,,,,
13,1995,1,2,3,,,,,,,
14,1995,7,,,,,,,,,
15,1995,0,1,14,,,,,,,
16,1995,5,7,,,,,,,,
17,1995,7,14,,,,,,,,
18,1995,4,,,,,,,,,
19,1995,4,,,,,,,,,
20,1995,0,4,5,7,16,,,,,
21,1995,4,5,16,,,,,,,
22,1995,5,7,10,13,16,,,,,
23,1995,0,5,16,,,,,,,
24,1995,7,15,,,,,,,,
25,1995,7,14,,,,,,,,
26,1995,7,,,,,,,,,
27,1995,3,7,,,,,,,,
28,1995,7,14,,,,,,,,
29,1995,1,7,8,13,15,,,,,
30,1995,5,7,,,,,,,,
31,1995,7,,,,,,,,,
32,1995,13,15,16,,,,,,,
33,1995,1,11,14,,,,,,,
34,1995,3,7,,,,,,,,
35,1995,7,14,,,,,,,,
36,1995,5,7,,,,,,,,
37,1995,6,11,,,,,,,,
38,1995,3,4,,,,,,,,
39,1995,4,14,,,,,,,,
40,1995,7,,,,,,,,,
41,1995,7,17,,,,,,,,
42,1995,0,5,7,,,,,,,
43,1995,7,,,,,,,,,
44,1995,0,1,8,,,,,,,
45,1995,4,7,16,,,,,,,
46,1995,7,14,,,,,,,,
47,1995,13,16,,,,,,,,
48,1995,2,3,7,12,14,,,,,
49,1995,7,14,,,,,,,,
50,1995,5,13,16,,,,,,,
51,1994,0,7,16,,,,,,,
52,1995,4,7,14,,,,,,,
53,1994,1,7,,,,,,,,
54,1995,3,4,,,,,,,,
55,1995,7,,,,,,,,,
56,1995,1,3,4,8,,,,,,
57,1995,7,,,,,,,,,
58,1994,4,7,14,,,,,,,
59,1995,7,13,,,,,,,,
60,1995,1,3,8,,,,,,,
61,1996,7,16,,,,,,,,
62,1995,7,,,,,,,,,
63,1996,4,5,,,,,,,,
64,1996,4,14,,,,,,,,
65,1996,4,,,,,,,,,
66,1996,0,15,16,,,,,,,
67,1995,7,,,,,,,,,
68,1995,4,14,,,,,,,,
69,1995,4,,,,,,,,,
70,1996,0,4,10,16,,,,,,
71,1995,0,,,,,,,,,
72,1995,4,7,,,,,,,,
73,1995,7,17,,,,,,,,
74,1996,7,14,,,,,,,,
75,1996,4,7,,,,,,,,
76,1995,0,15,16,,,,,,,
77,1995,6,,,,,,,,,
78,1995,0,5,7,16,,,,,,
79,1996,7,16,,,,,,,,
80,1995,3,7,,,,,,,,
81,1995,5,7,14,,,,,,,
82,1995,4,7,,,,,,,,
83,1995,7,14,,,,,,,,
84,1995,4,7,,,,,,,,
85,1995,7,14,,,,,,,,
86,1996,0,1,7,,,,,,,
87,1996,3,4,,,,,,,,
88,1996,4,,,,,,,,,
89,1995,0,16,,,,,,,,
90,1995,7,,,,,,,,,
92,1996,7,10,16,,,,,,,
93,1995,4,10,14,,,,,,,
94,1996,4,7,14,,,,,,,
95,1996,0,1,16,,,,,,,
96,1995,4,7,,,,,,,,
97,1995,5,7,,,,,,,,
98,1994,0,16,,,,,,,,
99,1995,6,,,,,,,,,
100,1996,7,16,,,,,,,,
101,1996,1,4,5,14,,,,,,
102,1996,4,,,,,,,,,
103,1996,13,15,16,,,,,,,
104,1996,4,,,,,,,,,
105,1995,7,14,,,,,,,,
106,1994,4,7,,,,,,,,
107,1996,1,3,4,12,,,,,,
108,1996,6,,,,,,,,,
109,1995,4,7,16,,,,,,,
110,1995,0,7,17,,,,,,,
111,1976,5,7,16,,,,,,,
112,1995,0,1,4,5,,,,,,
113,1996,7,13,,,,,,,,
114,1995,7,,,,,,,,,
115,1995,4,,,,,,,,,
116,1995,6,,,,,,,,,
117,1995,5,7,,,,,,,,
118,1996,4,14,,,,,,,,
119,1995,4,,,,,,,,,
120,1996,1,4,7,,,,,,,
121,1992,7,,,,,,,,,
122,1992,4,14,,,,,,,,
123,1994,7,13,14,,,,,,,
124,1995,7,,,,,,,,,
125,1996,4,,,,,,,,,
126,1994,1,3,8,,,,,,,
127,1994,7,,,,,,,,,
128,1994,6,,,,,,,,,
129,1996,4,14,,,,,,,,
130,1995,7,,,,,,,,,
131,1995,7,14,,,,,,,,
132,1995,16,,,,,,,,,
133,1995,4,7,,,,,,,,
134,1995,6,,,,,,,,,
135,1996,4,,,,,,,,,
136,1995,6,,,,,,,,,
137,1995,6,,,,,,,,,
138,1995,7,,,,,,,,,
139,1995,0,7,,,,,,,,
140,1996,7,14,,,,,,,,
141,1996,4,,,,,,,,,
142,1988,7,,,,,,,,,
143,1995,7,,,,,,,,,
144,1995,4,,,,,,,,,
145,1995,0,4,5,7,16,,,,,
146,1995,1,3,,,,,,,,
147,1995,7,,,,,,,,,
148,1995,7,,,,,,,,,
149,1994,5,7,16,,,,,,,
150,1995,1,7,11,,,,,,,
151,1995,0,7,14,17,,,,,,
152,1995,7,10,,,,,,,,
153,1995,0,1,4,5,,,,,,
154,1967,7,,,,,,,,,
